id,name,namealt,nameloc,namelocalt,langloc,type,typeloc,iso3,area,note,daterec,datelast,srcgeom
"11",Sakteng Wildlife Sanctuary,"Sakteng; Sekteng",,,dzo,WIldlife Sanctuary,,BTN,,,"2003",2023-09-09,pad-bhutan
"9",Phrumsengla National Park,Phrumsengla,,,dzo,National Park,,BTN,,,"1993",2023-09-09,pad-bhutan
"4",Jigme Singye Wangchuck National Park,Torsa Strict Nature Reserve,,,dzo,National Park,,BTN,,,"1993",2023-09-09,pad-bhutan
"2",Jigme Dorji National Park,Jigme Dorji,,,dzo,National Park,,BTN,,,"1993",2023-09-09,pad-bhutan
"1",Bumdeling Wildlife Sanctuary,"Bumdeling; Bumdelling; Bomdeling",,,dzo,WIldlife Sanctuary,,BTN,,,"1993",2023-09-09,pad-bhutan
"12",Wangchuck Centennial National Park,Wangchuck Centennial,,,dzo,National Park,,BTN,,,"2008",2023-09-09,pad-bhutan
"5",Jomotsangkha WIldlife Sanctuary,Jomotsangkha,,,dzo,WIldlife Sanctuary,,BTN,,,"1993",2023-09-09,pad-bhutan
"7",Phibsoo WIldlife Sanctuary,Phibsoo,,,dzo,WIldlife Sanctuary,,BTN,,,"1993",2023-09-09,pad-bhutan
"10",Royal Manas National Park,Royal Manas,,,dzo,National Park,,BTN,,,"1993",2023-09-09,pad-bhutan
"3",Jigme Khesar Strict Nature Reserve,Jigme Khesar Strict Nature Reserve,,,dzo,Nature Reserve,,BTN,,,"1993",2023-09-09,pad-bhutan
"6",Motithang Takin Preserve,Motithang Takin,,,dzo,Nature Reserve,,BTN,,,2005-11-25,2023-09-09,pad-bhutan
"8",Phobjikha Valley,Gangtey-Phobji,,,dzo,"Ramsar Site; Protected Area",,BTN,,,"2014-05-02; 2003",2023-09-09,pad-bhutan
